"ID задачи","Проект","Теги","Заголовок","Заявитель","Создана","Обновлена","Завершенная","Исполнитель","Тип","Вид бага","Серьёзность","Компонент","Описание","Голоса"
"U4-632","Циопа Анна","Звезда","На странице https://phptravels.net/signup ошибка 500 в консоли.","Anna Tsiopa","29 Aug 2022","30 Aug 2022",,"root","Bug","Functional","Critical","PhpTravels","1. Открыть сайт
2. Выбрать в селекторе Account команду Signup
3. Заполнить все поля и нажать на кнопку Signup

   **Результат:** POST <https://phptravels.net/signup> 500

   ![](Screenshot_1.png){width=70%}

   **Ожидаемый результат:** ошибок нет","0"
"U4-631","Циопа Анна","Звезда","Сайт не адаптирован в десктопной версии Chrome. ","Anna Tsiopa","26 Aug 2022","28 Aug 2022",,"root","Bug","Cross-Browser","Critical","PhpTravels","1. Открыть главную страницу сайта в десктопной версии в браузере Chrome
2. Открыть главную страницу сайта на мобильном устройстве в браузере Safari

   **Результат:** в десктопной версии сайт сайт не адаптирован, все элементы не на своих местах. В мобильной версии отображение корректно

   ![](Screenshot_1.png){width=70%}

   **Ожидаемый результат:** сайт адаптирован для всех устройств и разрешений
   ![](IMG_9225.MP4)","0"
"U4-629","Циопа Анна","Звезда","В верхней части сайта есть кнопка, которая открывает пустой раздел сайта. ","Anna Tsiopa","25 Aug 2022","28 Aug 2022",,"root","Bug","UI","Major","MySite","1. Открыть главную страницу
2. В верхнем правом углу нажать на кнопку ""+""

   **Результат:** раскрывается пустой раздел.

   ![](VJuwzQLBkO.gif){width=70%}

   **Ожидаемый результат**: по нажатию кнопки раскрывается раздел с информацией, либо кнопки на сайте нет.","0"
"U4-623","Циопа Анна","Звезда","В разделе Контакты сохраняются данные ""Телефон"" и ""Почта"" каждого из аккаунтов при использовании функции ""Объединить""","Anna Tsiopa","25 Aug 2022","27 Aug 2022",,"root","Bug","Functional","Major","EspoCRM","1. Открыть программу
2. Перейти в раздел Контакты
3. Отметить галочками в списке контакты Test1 1 и Test2 2
4. В селекторе Действия выбрать Объединить 
5. Нажать на кнопку Объединить

   **Результат:** в объединенной карточке контакта отображаются почты и телефоны первого и второго аккаунта. 

   ![](YwU6mfmB5s.gif){width=70%}

   **Ожидаемый результат:** в объединенной карточке отображаются только выбранные при объединении данные. ","0"
"U4-624","Циопа Анна","Звезда","В разделе Контакты фильтрация по электронной почте отображает невалидные результаты при поиске значения ""Начинается с 2"". ","Anna Tsiopa","25 Aug 2022","27 Aug 2022",,"root","Bug","Functional","Major","EspoCRM","1. Открыть программу
2. Перейти в раздел контакты
3. Нажать на селектор Добавить поле
4. Выбрать Адрес эл.почты
5. Ввести в поле ""2""
6. Выбрать в селекторе действия ""Начинается с"" или ""Содержит""
7. Нажать на кнопку Поиска

   **Результат:** в результатах поиска также присутствуют почты, которые не начинаются или не содержат значения ""2""

   ![](EBtvuDfGKu.gif){width=70%}

   **Ожидаемый результат**: в результатах поиска отображаются значения, которые начинаются или содержат значение ""2""","0"
"U4-625","Циопа Анна","Звезда","В разделе Кандидаты есть фильтры ""Будущее"" и ""Следующие Х дней"" в поле Создано, которые не соответствуют данным в разделе.","Anna Tsiopa","25 Aug 2022","27 Aug 2022",,"root","Bug","Functional","Major","EspoCRM","1. Открыть программу
2. Перейти в раздел Кандидаты
3. Выбрать в селекторе Добавить поле фильтр Создано
4. Выбрать в селекторе фильтра значения ""Будущее"" или ""Следующие Х дней""

   **Результат**: при создании кандидата нет варианта отложенного создания, указанные фильтры не имеют смысла либо некорректно названы. Актуально для всех разделов сайта, где есть фильтрация

   ![](D9tFV3ml0R.gif){width=70%}

   **Ожидаемый результат:** все фильтры соответствуют контексту, бесполезных фильтров в списке нет. ","0"
"U4-626","Циопа Анна","Звезда","В разделе Кампании в опции Список целей не работает сортировка по количеству ","Anna Tsiopa","25 Aug 2022","27 Aug 2022",,"root","Bug","Functional","Major","EspoCRM","1. Открыть программу
2. Перейти в раздел Кампании
3. Нажать на кнопку Список целей
4. Нажать на столбец Количество
   **Результат:** сортировка не срабатывает, появляется предупреждение ""Bad server response""

   ![](UOmc2pQxij.gif){width=70%}
   **Ожидаемый результат:** значения отсортированы по столбцу Количество","0"
"U4-627","Циопа Анна","Звезда","На сайте в разделе Бланки заявлений не открывается ссылка ""Бланк заявления на перенос счетчика воды word""","Anna Tsiopa","25 Aug 2022","27 Aug 2022",,"root","Bug","Functional","Critical","MySite","1. Открыть сайт <https://novoantropshino.ru/>
2. Выбрать в нижнем меню сайта раздел Бланки заявлений
3. Нажать на ссылку  ""Бланк заявления на перенос счетчика воды word"" в разделе Муринское сельское поселение

   **Результат:** ссылка не открывается, бланк невозможно скачать.

   ![](Gym5j34QTm.gif){width=70%}

   **Ожидаемый результат:** открывается ссылка на бланк. ","0"
"U4-628","Циопа Анна","Звезда","На главной странице сайта не меняется курсор при наведении на кнопку ""Версия для слабовидящих""","Anna Tsiopa","25 Aug 2022","27 Aug 2022",,"root","Bug","Usability","Normal","MySite","1. Открыть главную страницу сайта <https://novoantropshino.ru/>
2. Навести курсор на кноку Версия для слабовидящих

   **Результат:** курсор не изменился с текстового выделения на курсор-руку.

   ![](xf0MkTSrcq.gif){width=70%}

   **Ожидаемый результат:** курсор изменился на курсор-руку. ","0"
"U4-630","Циопа Анна","Звезда","В разделе Отправить показания счётчиков в формы ввода вносятся недопустимые значения.","Anna Tsiopa","25 Aug 2022","27 Aug 2022",,"root","Bug","Functional","Major","MySite","1. Открыть сайт <https://novoantropshino.ru/>
2. Нажать на баннер ""Отправить показания счётчиков""
3. Ввести в поле Квартира и Стояк 1 ХВС значения -1
4. Ввести в поле Электрич. день ""e"" и ""+"" на латинице 

   **Результат:** сайт не блокирует ввод данных в поля.

   ![](Screenshot_1.png){width=70%}

   **Ожидаемый результат:** сайт блокирует введение отрицательных чисел, символов и букв в числовые поля ввода.","0"
